Name,Rating,Genre,Release Date,Runtime,Url
Spider-Man: No Way Home,83,"Action,Adventure,Science Fiction",12/17/2021,2h 28m,https://www.themoviedb.org/movie/634649
Turning Red,75,"Animation,Family,Comedy,Fantasy",03/10/2022,1h 40m,https://www.themoviedb.org/movie/508947
Blacklight,55,"Action,Thriller",02/10/2022,1h 44m,https://www.themoviedb.org/movie/823625
The Batman,80,"Crime,Mystery,Thriller",03/04/2022,2h 56m,https://www.themoviedb.org/movie/414906
Encanto,77,"Animation,Comedy,Family,Fantasy",11/24/2021,1h 42m,https://www.themoviedb.org/movie/568124
No Exit,65,"Horror,Thriller",02/25/2022,1h 36m,https://www.themoviedb.org/movie/833425
Restless,58,"Action,Thriller,Crime",02/25/2022,1h 35m,https://www.themoviedb.org/movie/928381
Red Notice,68,"Action,Comedy,Crime,Thriller",11/05/2021,1h 58m,https://www.themoviedb.org/movie/512195
The Commando,68,"Action,Crime,Thriller",01/07/2022,1h 33m,https://www.themoviedb.org/movie/753232
The King's Man,70,"Action,Adventure,Thriller,War",01/14/2022,2h 11m,https://www.themoviedb.org/movie/476669
Scream,68,"Horror,Mystery,Thriller",01/14/2022,1h 54m,https://www.themoviedb.org/movie/646385
My Hero Academia: World Heroes' Mission,73,"Animation,Action,Fantasy,Adventure",08/06/2021,1h 45m,https://www.themoviedb.org/movie/768744
The Weekend Away,59,"Thriller,Mystery",03/03/2022,1h 29m,https://www.themoviedb.org/movie/840882
Eternals,72,Science Fiction,11/05/2021,2h 36m,https://www.themoviedb.org/movie/524434
Hotel Transylvania: Transformania,71,"Animation,Family,Fantasy,Comedy,Adventure",02/25/2022,1h 27m,https://www.themoviedb.org/movie/585083
The Ice Age Adventures of Buck Wild,71,"Animation,Comedy,Adventure,Family",01/28/2022,1h 22m,https://www.themoviedb.org/movie/774825
Venom: Let There Be Carnage,71,"Science Fiction,Action,Adventure",10/01/2021,1h 37m,https://www.themoviedb.org/movie/580489
Nightmare Alley,71,"Crime,Drama,Thriller",12/03/2021,2h 30m,https://www.themoviedb.org/movie/597208
Desperate Riders,60,"Western,Action",02/25/2022,1h 30m,https://www.themoviedb.org/movie/928999
Fistful of Vengeance,54,"Action,Crime,Fantasy",02/17/2022,1h 34m,https://www.themoviedb.org/movie/890656
Kimi,63,Thriller,02/10/2022,1h 29m,https://www.themoviedb.org/movie/800510
Texas Chainsaw Massacre,51,"Horror,Thriller",02/18/2022,1h 21m,https://www.themoviedb.org/movie/632727
The Requin,48,Thriller,01/28/2022,1h 29m,https://www.themoviedb.org/movie/803114
Sing 2,82,"Animation,Comedy,Family,Music",12/22/2021,1h 50m,https://www.themoviedb.org/movie/438695
Pursuit,57,"Action,Crime,Thriller",02/18/2022,1h 32m,https://www.themoviedb.org/movie/871799
The Jack in the Box: Awakening,57,Horror,01/03/2022,1h 29m,https://www.themoviedb.org/movie/801071
The Adam Project,71,"Science Fiction,Adventure,Comedy",03/11/2022,1h 46m,https://www.themoviedb.org/movie/696806
